"title","bundle.x","fanRating.x"
"dangling_on_the_end_of_my_string_sftv","The Blue-Pinkerton Years",3.9
"daydreamer","The Red-Raditude-Hurley Years",4.58
"death_and_destruction","The Green Years",4.36
"defeat_on_the_hill_parson_brown","The Blue-Pinkerton Years",3.59
"development_of_the_british_are_coming_2011_11_10","EWBAITE",2.67
"devotion_parson_brown","The Blue-Pinkerton Years",4.77
"dictadroid1_2014_12_4_16_24_25","The White Years",2.38
"dictadroid1_2015_4_1_10_17_32","The White Years",2.25
"dictadroid1_2015_4_7_13_53_27","The White Years",3.79
"dictadroid10_2018_8_14_20_37_26","The Pacific Daydream Black Years",3.9
"dictadroid2_2014_12_4_16_25_21","The White Years",4
"dictadroid2_2015_4_7_14_15_11","The White Years",2.67
"dictadroid2_2018_5_25_13_8_2","The Pacific Daydream Black Years",3.75
"dictadroid28_2018_5_21_14_14_25","The Pacific Daydream Black Years",4
"dictadroid4_2018_5_25_13_13_22","The Pacific Daydream Black Years",3.33
"dictadroid6_2018_5_25_13_26_5","The Pacific Daydream Black Years",4.25
"dictadroid7_2018_5_25_13_42_3","The Pacific Daydream Black Years",4
"dictadroid8_2018_8_14_20_19_52","The Pacific Daydream Black Years",3.17
"dirty_hands_2_ace_of_spades_drum_stem_timpani_94","The Pacific Daydream Black Years",3.86
"do_you_really_want_me_down_flange_gtr_at_end_2004_05_18","The Make Believe Years",4.17
"do_you_really_want_me_down_my_brain_2004_04_23","The Make Believe Years",4.17
"do_you_really_want_me_down_my_brain_2004_unchained_melody","The Make Believe Years",4.12
"do_you_wanna_get_high_1","Weezma",3.83
"do_you_wanna_get_high_2","Weezma",3.5
"do_you_wanna_get_high_2004_11_17_sketch","The White Years",3.36
"do_you_want_me_to_stay","The Green Years",2.83
"do_you_want_to_get_high_8","The White Years",2.42
"do_you_want_to_get_high_v11_new_bri","The White Years",3.12
"do_you_want_to_get_high_v13_never_tired","The White Years",3.71
"do_you_want_to_get_high_v14_alt_cho","The White Years",2.83
"do_you_want_to_get_high_v15_alt_cho","The White Years",4.44
"do_you_want_to_get_high_v3","The White Years",3.25
"do_you_want_to_get_high_v4","The White Years",2.5
"do_you_want_to_get_high_v8_1","The White Years",2.38
"do_you_want_to_get_high_v9_jake","The White Years",4.25
"does_anybody_love_anybody_10_clip_no","The White Years",3.4
"does_anybody_love_anybody_11_clip_no","The White Years",3.56
"does_anybody_love_anybody_v10_no_d","The White Years",3.93
"does_anybody_love_anybody_v10_rip","The White Years",3.58
"does_anybody_love_anybody_v11_meet","The White Years",4.19
"does_anybody_love_anybody_v11_no_d","The White Years",4
"does_anybody_love_anybody_v8_bridge_sped_up","The White Years",2.5
"does_anybody_love_anybody_v9_bridge_sped_up_acoustic_electric","The White Years",3.71
"does_anybody_love_anybody_v9_bridge_w_extended_piano_intro","The White Years",4.45
"does_anybody_love_anybody_v9_clip_n_instrumental","The White Years",3.82
"dont_give_it_up_3","The Pacific Daydream Black Years",4.53
"dont_mess_with_my_girl_v2","EWBAITE",4.21
"dont_mess_with_my_girl_v26","EWBAITE",4.45
"dont_mess_with_my_girl_v29","EWBAITE",4.52
"dont_mess_with_my_girl_v3","EWBAITE",3.92
"dont_mess_with_my_girl_v30","EWBAITE",4.47
"e_c_number_techo_riff","EWBAITE",2.43
"e_c_number_techo_riff_2_chorus","EWBAITE",2.7
"e_c_number_techo_riff_2_chorus_2","EWBAITE",2.5
"ebay","The White Years",2.89
"elaine_6_dont_give_it","The White Years",3.07
"elaine_v7_be_my_steady_sketch","EWBAITE",2.5
"elaine_v7_here_comes_sketch","EWBAITE",3.75
"elaine_v8_ghost_sketch","EWBAITE",3.33
"elaine_v8_rip_sketch","EWBAITE",3.75
"elaine_v9_fighters_sketch","EWBAITE",3.62
"elaine_v9_post_sketch","EWBAITE",3.62
"everybody_get_dangerous_monochord","The Red-Raditude-Hurley Years",2.67
"everybody_needs_salvation_rough_1","EWBAITE",4.91
"everybody_needs_salvation_v11","EWBAITE",4.6
"everybody_needs_salvation_v14","EWBAITE",4.57
"everybody_needs_salvation_v2","EWBAITE",4.12
"everybody_needs_salvation_v2_1","EWBAITE",4.57
"everybody_needs_salvation_v3","EWBAITE",3.38
"everyone","The Green Years",3.75
"everyone_v2","The Green Years",4
"fair_weather_friend_2015_1_27_sketch","The White Years",3.5
"fake_smiles_and_nervous_laughter_js2_rough","The White Years",4.28
"fake_smiles_and_nervous_laughter_v5","The White Years",3.5
"fake_smiles_and_nervous_laughter_v6","The White Years",3.7
"fake_smiles_and_nervous_laughter_v7","The White Years",3.93
"fake_smiles_and_nervous_laughter_v8","The White Years",4.65
"fake_smiles_v4","The White Years",3.7
"fall_together_v1","The Green Years",4.2
"fall_together_v2_alt_riff","The Green Years",4.28
"feet_on_the_ground","The White Years",3.17
"feet_on_the_ground_1","The White Years",2.75
"feet_on_the_ground_2","EWBAITE",3.14
"foolish_father_coda_2014_7_18","EWBAITE",4
"freak_me_out_2004_07_20","The Make Believe Years",4
"friend_of_a_friend_sketch","The White Years",3.1
"friend_of_a_friend_v15_chorus_lyrics","The White Years",3.25
"friend_of_a_friend_v16_acoustic_lyrics","The White Years",4.67
"friend_of_a_friend_v16_verse_lyrics","The White Years",4.4
"friend_of_a_friend_v17_tag_132","The White Years",3.6
"friend_of_a_friend_v18_intro_132","The White Years",4.44
"funeral_for_music","The Green Years",3.33
"get_away_2004_05_18","The Make Believe Years",3.94
"getchoo_don_slacks","The Blue-Pinkerton Years",4.73
"ghost_125","The White Years",3.08
"ghost_2_125_melody","The White Years",4
"girl_we_got_a_good_thing_v15_sketch","The White Years",2.88
"girl_we_got_a_good_thing_v16","The White Years",4.68
"girl_we_got_a_good_thing_v17_cross","The White Years",4.47
"good_times_4","The White Years",2.81
"good_times_5_verses_102_2","The White Years",4.03
"guiding_light_6_swear_to_god_bridge_131_1","The Pacific Daydream Black Years",4.46
"guiding_light_chorus_7_builds_131_1","The Pacific Daydream Black Years",4.58
"guiding_light_chorus_8_square_verse_131_1","The Pacific Daydream Black Years",4.62
"happy_robot_2004_06_04","The Make Believe Years",4
"hasta_guitar_2018_11_15_12_36_15","The Pacific Daydream Black Years",2
"hasta_luego_vocals_aa_jam_set_25_98_5_28_bars","The Pacific Daydream Black Years",3.2
"haunt_you_every_day_2004_04_23","The Make Believe Years",4.82
"hearts_7_king","The White Years",3.29
"her_name_is_kaylee_2_119","The Pacific Daydream Black Years",3.19
"her_name_is_kaylee_3_119","The Pacific Daydream Black Years",2.93
"her_name_is_kaylee_5_verse_120","The Pacific Daydream Black Years",3.81
"her_name_is_kaylee_6_double_post_120","The Pacific Daydream Black Years",3.84
"here_comes_the_rain_16_impossible_112_5","The Pacific Daydream Black Years",4.49
"hey_domingo","The Green Years",4.12
"hey_youngster","The White Years",3.5
"hey_youngster_2_80","The Pacific Daydream Black Years",3
"high_2018_2_25_12_1_29","The Pacific Daydream Black Years",2.92
"high_as_a_kite_1_85_5_az_13","The Pacific Daydream Black Years",3.62
"high_as_a_kite_1_86_5_az_13","The Pacific Daydream Black Years",3.56
"high_as_a_kite_2_63","The Pacific Daydream Black Years",4.35
"high_as_a_kite_az_3_second_verse_85_5","The Pacific Daydream Black Years",4.14
"high_as_a_kite_az_4_verse_chords_86_5","The Pacific Daydream Black Years",4.18
"high_as_a_kite_az_5_vocals_86_5_25_bars","The Pacific Daydream Black Years",3.4
"high_as_a_kite_with_young_verse_87_5_dictadroid7_2018_5_25_13_42_3","The Pacific Daydream Black Years",4.36
"high_hopes_v14","The White Years",3.95
"hold_me_2004_06_04","The Make Believe Years",4.54
"holiday_don_slacks","The Blue-Pinkerton Years",4.51
"hot_little_tramp","The Red-Raditude-Hurley Years",4.02
"hot_little_tramp_5_vso","The Red-Raditude-Hurley Years",3.94
"hot_little_tramp_chorus","The Red-Raditude-Hurley Years",2.6
"hot_little_tramp_chorus_only","The Red-Raditude-Hurley Years",2
"hot_little_tramp_chorus_vso","The Red-Raditude-Hurley Years",2.3
"hot_little_tramp_no_guide_vocal","The Red-Raditude-Hurley Years",3.33
"hot_little_tramp_with_guide_vocal","The Red-Raditude-Hurley Years",2.9
"i_admire_you_so_much","The Green Years",4.14
"i_admire_you_so_much_rc_edit_1","The Green Years",2.62
"i_am_an_indian_v2","EWBAITE",3.8
"i_am_an_indian_v4","EWBAITE",3.43
"i_can_see_your_body_down_on_the_floor_sketch","The White Years",3.17
"i_cant_break_your_heart_slow_sftv","The Blue-Pinkerton Years",4.21
"i_cant_forget_the_way_2","Pre-Weezer",4.3
"i_dont_feel_enough_2_2","The White Years",3.55
"i_dont_wanna_let_u_go","The Red-Raditude-Hurley Years",3.33
"i_dont_wanna_let_you_go_bridge","The Red-Raditude-Hurley Years",4.22
"i_dont_wanna_let_you_go_overdubs","The Red-Raditude-Hurley Years",2.8
"i_dont_wanna_let_you_go_tags_no_br","The Red-Raditude-Hurley Years",4.5
"i_dont_want_to_let_you_go_t_pmm1","The Red-Raditude-Hurley Years",3.92
"i_dont_want_to_let_you_go_tp_al_tmm1","The Red-Raditude-Hurley Years",4.24
"i_dont_want_to_let_you_go_tp_al_tmm2","The Red-Raditude-Hurley Years",4.36
"i_dont_want_to_let_you_go_tp_al_tmm3","The Red-Raditude-Hurley Years",4.12
"i_dont_want_to_let_you_go_tp_al_tmm4","The Red-Raditude-Hurley Years",4.45
"i_dont_want_to_let_you_go_tp_al_tmm5","The Red-Raditude-Hurley Years",4.46
"i_just_threw_out_the_love_of_my_dreams_sftbh","The Blue-Pinkerton Years",4.86
"i_love_the_usa_alt_melody","The White Years",2.21
"i_never_get_tired_of_you_2015_2_5_10","The White Years",2.83
"i_see_colors_4_97_2","The Pacific Daydream Black Years",4.55
"i_see_colors_5_with_me_97_2","The Pacific Daydream Black Years",4.41
"i_see_colors_8_lonely_at_the_top_97_2","The Pacific Daydream Black Years",4.52
"i_sing_to_myself_4","EWBAITE",3.57
"i_swear_its_true_don_slacks","The Blue-Pinkerton Years",4.35
"i_want_to_take_u_cbmix2","The Green Years",3
"i_want_to_take_u_home_cbmix3","The Green Years",2.5
"i_want_to_take_u_home_mix4","The Green Years",4.11
"i_want_to_take_you_home_mix_9_1","The Make Believe Years",4.42
"i_want_to_take_you_home_tonight_2004_02_20","The Make Believe Years",3.81
"i_want_to_take_you_home_tonight_edi","The Make Believe Years",4.33
"i_want_to_take_you_home_tonight_edi_2","The Make Believe Years",4.14
"i_want_to_take_you_home_tonight_edi_3","The Make Believe Years",4.12
"i_was_just_being_honest","EWBAITE",3.83
"i_was_made_for_you","The Make Believe Years",4.88
"i_was_made_for_you_2004_02_06","The Make Believe Years",4.84
"i_was_made_for_you_2004_02_20_2","The Make Believe Years",4.68
"i_was_made_for_you_2004_02_20_2_2","The Make Believe Years",4.58
"i_was_made_for_you_2004_06_04","The Make Believe Years",4.68
"i_was_scared_2003_demos","The Make Believe Years",4.07
"i_was_scared_2003_demos_2","The Make Believe Years",3.94
"i_was_scared_2003_demos_3","The Make Believe Years",3.5
"i_was_scared_2004_02_20","The Make Believe Years",4
"i_was_scared_2004_07_05","The Make Believe Years",4.5
"i_was_scared_2008_edit","The Make Believe Years",4.7
"i_was_scared_cbmix2","The Make Believe Years",4.5
"i_was_scared_cbmix3","The Make Believe Years",4.61
"i_was_scared_mix_9_1","The Make Believe Years",4.67
"i_was_scared_no_tag_2003_demos","The Make Believe Years",3.62
"ideas_10_15_2013_16h33m26s","EWBAITE",2.4
"ideas_12_5_2013_14h4m51s","EWBAITE",1.9
"ideas_6_20_2013_13h23m45s","EWBAITE",2.38
"ideas_9_18_2013_20h54m11s","EWBAITE",2.38
"ideas_9_6_2012_10h43m34s","EWBAITE",2.38
"if_you_only_knew_8_128","The White Years",2.71
"if_you_want_me_tell_me_so","The Pacific Daydream Black Years",3.12
"if_you_want_me_tell_me_so_2","The Pacific Daydream Black Years",4.02
"if_you_want_me_tell_me_so_2012_01_31","EWBAITE",1.5
"if_you_want_me_tell_me_so_with_vocal","The Pacific Daydream Black Years",2.1
"ill_be_with_someone_else_3","EWBAITE",4.1
"ill_be_with_someone_else_v2","EWBAITE",4.35
"ill_be_with_someone_else_v2_1","EWBAITE",4.15
"ill_be_with_someone_else_v2_2","EWBAITE",4
"ill_be_with_someone_else_v2_bgv_only","EWBAITE",2.67
"ill_be_with_someone_else_v2_instrumental","EWBAITE",3.33
"ill_be_with_someone_else_v2_lead_voc","EWBAITE",3.25
"ill_be_with_someone_else_v3","EWBAITE",4.66
"ill_swallow_poison_on_sunday_1_97_2","The Pacific Daydream Black Years",4.46
"ill_swallow_poison_on_sunday_1_97_2_2","The Pacific Daydream Black Years",4
"ill_think_about_you_don_slacks","The Blue-Pinkerton Years",4.41
"im_a_robot_2004_07_20","The Make Believe Years",3.58
"im_just_being_honest_2012_12_14_early_piano_sketch_1","EWBAITE",1
"im_just_being_honest_2012_12_14_early_piano_sketch_2","EWBAITE",3.38
"im_just_being_honest_2012_12_14_early_piano_sketch_3","EWBAITE",2.67
"im_lonely_on_a_saturday_night_sftv","The Blue-Pinkerton Years",3.88
"im_on_fire_youre_a_liar_sftv","The Blue-Pinkerton Years",3.32
"im_so_happy_im_in_santa_monica","The White Years",3
"im_so_happy_im_in_santa_monica_2","The White Years",2.31
"im_so_lonely_parson_brown","The Blue-Pinkerton Years",3.8
"in_the_garage_don_slacks","The Blue-Pinkerton Years",4.59
"in_the_mall_rc_vox","Patrick & Rivers",3.6
"instrumental","The White Years",4
"is_this_what_they_call_love_1_135_4","The Pacific Daydream Black Years",4.07
"island_in_the_sun_109","The Green Years",4.75
"it_feels_like_summer_2_160","The White Years",1.7
"its_been_so_long_2013_12_2_sketch_1","EWBAITE",2.33
"its_been_so_long_2013_12_2_sketch_2","EWBAITE",2.33
"its_been_so_long_2013_12_2_sketch_2_dup","EWBAITE",3.5
"its_been_so_long_2013_12_2_sketch_2_dup2","EWBAITE",2.33
"ive_had_it_up_to_here_2013_10_23_brief_vocal_sketch_1","EWBAITE",2.67
"ive_had_it_up_to_here_2013_10_23_brief_vocal_sketch_2","EWBAITE",3
"j_is_for_joy_1_135_4","The Pacific Daydream Black Years",4.44
"j_is_for_joy_2_piano_135_4","The Pacific Daydream Black Years",3.9
"j_is_for_joy_3_bridge_key_heart_135_4","The Pacific Daydream Black Years",4.36
"j_is_for_joy_4_you_and_me_bridge_135_4","The Pacific Daydream Black Years",4.33
"j_is_for_joy_6_discovered_135_4","The Pacific Daydream Black Years",4.74
"jamie_monterey_jack","The Blue-Pinkerton Years",4.39
"jodi","The Green Years",4.09
"june_bride_10","The White Years",2.88
"june_bride_15","The White Years",3.33
"june_bride_16","The White Years",4
"june_bride_2_i_know_that_you_want_me_65","The Pacific Daydream Black Years",3.39
"knock_the_hustle_2018_2_25_9_28_6","The Pacific Daydream Black Years",2.83
"let_it_all_hang_out_2","The Green Years",4.07
"let_me_see_2015_2_10_8_21_18","The White Years",2.79
"let_me_wash_at_your_sink_don_slacks_dup","The Blue-Pinkerton Years",4.46
"let_me_wash_at_your_sink_don_slacks_dup_2","The Blue-Pinkerton Years",4.45
"lets_keep_it_platonic_2_2","The White Years",4.05
"listen_to_your_heart","The Blue-Pinkerton Years",4.28
"little_do_they_know_1_sb_84_5","The Pacific Daydream Black Years",4.25
"little_do_they_know_2_piano_88_5","The Pacific Daydream Black Years",4.23
"little_do_they_know_3_bridge_whip_it_88_5","The Pacific Daydream Black Years",4.42
"little_do_they_know_4_hi_sky_89_5","The Pacific Daydream Black Years",4.73
"living_without_you","The Green Years",3.3
"longtime_sunshine_reprise_sftbh","The Blue-Pinkerton Years",3.92
"longtime_sunshine_vocals_1_sftbh","The Blue-Pinkerton Years",3.5
"longtime_sunshine_vocals_2_sftbh","The Blue-Pinkerton Years",3.74
"longtime_sunshine_vocals_3_sftbh","The Blue-Pinkerton Years",3.5
"looking_for_a_fight_2003_demos","The Make Believe Years",3.67
"losing_my_mind_2004_06_04","The Make Believe Years",4.43
"losing_my_mind_2004_07_20","The Make Believe Years",4.5
"losing_my_mind_my_brain_sir_preproduct_rivers_chad","The Make Believe Years",4.12
"love_is_the_answer_2004_07_20","The Make Believe Years",4.36
"magical_fairies","EWBAITE",2.9
"me_time_3","The White Years",2.67
"memories_2008_edit_2","The Red-Raditude-Hurley Years",3.68
"mic_problem","The Pacific Daydream Black Years",1
"money_makes_me_happy_sftv","The Blue-Pinkerton Years",3.67
"moshikashitara_hot_girls_2_0","The Red-Raditude-Hurley Years",4.11
"my_brain_c_o_r_og","The Green Years",4.5
"my_brain_cbmix3","The Make Believe Years",3.89
"my_brain_cbmix3_16370","The Red-Raditude-Hurley Years",4.2
"my_brain_is_workin_overtime_piano","The Red-Raditude-Hurley Years",4
"my_brain_is_working_overtime_gtr_and_vox_2004_02_20","The Make Believe Years",4.29
"my_brain_mix_4_16374","The Red-Raditude-Hurley Years",4.5
"my_brain_mix_9_1","The Make Believe Years",4.33
"my_brain_mix_9_1_16372","The Red-Raditude-Hurley Years",4.75
"my_brain_mix4","The Make Believe Years",4.29
"my_day_is_coming_2008_edit_c3","The Red-Raditude-Hurley Years",3.5
"my_day_is_coming_edit_c3_longer","The Red-Raditude-Hurley Years",4.46
"my_minds_on_you_sftv","The Blue-Pinkerton Years",4.17
"mykel_carli_don_slacks","The Blue-Pinkerton Years",4.58
"narcissus_blooming_3","EWBAITE",4.5
"negativland_don_slacks","The Blue-Pinkerton Years",4.47
"new_girl_2012_11_14_acoustic_sketch_1","EWBAITE",3.43
"new_girl_2012_11_14_acoustic_sketch_2","EWBAITE",3.77
"new_girl_2012_11_27_piano_sketch_w_josh","EWBAITE",3.25
"no_bars_2013_1_22_acoustic_sketch","EWBAITE",2.25
"no_bars_2013_2_5_acoustic_sketch","EWBAITE",2.38
"no_bars_2013_2_5_acoustic_sketch_dup","EWBAITE",2.67
"no_bars_2013_2_7_acoustic","EWBAITE",2.8
"no_bars_v10","EWBAITE",3.6
"no_bars_v11","EWBAITE",3.75
"no_bars_v12","EWBAITE",4.36
"no_bars_v13","EWBAITE",4.19
"no_bars_v3","EWBAITE",4.05
"no_bars_v4","EWBAITE",3.25
"no_bars_v6","EWBAITE",3.71
"no_bars_v7","EWBAITE",3.86
"no_bars_v8","EWBAITE",3.33
"no_bars_v9","EWBAITE",3.33
"no_one_else_monterey_jack","The Blue-Pinkerton Years",4.57
"now_or_later","The Red-Raditude-Hurley Years",4
"oh_god_im_hungry_sftv","The Blue-Pinkerton Years",3.92
"oh_she_left_me_there","The Green Years",4.74
"oh_sisyphus_voice_memo_2014_9_28","EWBAITE",2.67
"old_school_w3_4_pink_melody","EWBAITE",3.7
"on_the_beach_2","The White Years",2
"only_a_cockroach_rc2","EWBAITE",4.76
